title,year,cover_date,journal,authors,doi,eid,scopus_id,citedby_count,subtype,description
Prediction of CSF Intervention in Fetal Ventriculomegaly via Artificial Intelligence–Powered Normative Modeling,2026,2026-03-01,American Journal of Neuroradiology,Zhou M.,10.3174/ajnr.A9000,2-s2.0-105032127514,SCOPUS_ID:105032127514,0,Article,
Spinal CSF Volumetry in Patients with Spontaneous Intracranial Hypotension and Spinal CSF Leaks,2026,2026-03-01,American Journal of Neuroradiology,Piechowiak E.I.,10.3174/ajnr.A9055,2-s2.0-105032140454,SCOPUS_ID:105032140454,0,Article,
Understanding the Therapeutic Impact of Disease-Modifying Therapies or No Treatment on Enlarging T1-Weighted Hypointense Lesions and Total T1-Weighted Hypointense Lesion Volume in MS,2026,2026-03-01,American Journal of Neuroradiology,Okuda D.T.,10.3174/ajnr.A8994,2-s2.0-105032163640,SCOPUS_ID:105032163640,0,Article,
An Emerging Pediatric CNS Tumor: Imaging Evaluation of H3K27M and BRAF V600E Comutated Midline Tumors,2026,2026-03-01,American Journal of Neuroradiology,Rameh V.,10.3174/ajnr.A9006,2-s2.0-105032152604,SCOPUS_ID:105032152604,0,Article,
"Low-Level Light Therapy Effect on Metabolites Measured by MR Spectroscopy in Patients with Moderate Traumatic Brain Injury: A Double-Blind, Randomized, Placebo-Controlled Clinical Trial",2026,2026-03-01,American Journal of Neuroradiology,Ratai E.M.,10.3174/ajnr.A8996,2-s2.0-105032166597,SCOPUS_ID:105032166597,0,Article,
ACR–ASNR–SPR Practice Parameter for the Performance of Computed Tomography Angiography (CTA) of the Head and Neck,2026,2026-03-01,American Journal of Neuroradiology,Joyner D.A.,10.3174/ajnr.A9107,2-s2.0-105032152055,SCOPUS_ID:105032152055,0,Article,
CTP-Free Method for Automated Lesion Water Uptake in Acute Ischemic Stroke,2026,2026-03-01,American Journal of Neuroradiology,van Poppel L.M.,10.3174/ajnr.A9054,2-s2.0-105032049220,SCOPUS_ID:105032049220,0,Article,
Progressive and Short-Interval Changes Observed in the Corticospinal Tract and Corpus Callosum of Patients with Amyotrophic Lateral Sclerosis: A Texture Analysis Study,2026,2026-03-01,American Journal of Neuroradiology,Parnianpour P.,10.3174/ajnr.A9013,2-s2.0-105032136568,SCOPUS_ID:105032136568,0,Article,
Two-Step Semiautomated Classification of Choroidal Metastases on MRI: Orbit Localization via Bounding Boxes Followed by Binary Classification via Evolutionary Strategies,2026,2026-03-01,American Journal of Neuroradiology,Shi J.S.,10.3174/ajnr.A8998,2-s2.0-105032127992,SCOPUS_ID:105032127992,0,Article,
Brain CT for Diagnosis of Intracranial Disease in Ambulatory Patients with Cancer: Assessment of the Diagnostic Value of Scanning without Contrast prior to with Contrast,2026,2026-03-01,American Journal of Neuroradiology,Wang E.,10.3174/ajnr.A8995,2-s2.0-105032157245,SCOPUS_ID:105032157245,0,Article,
Unilateral Primary Angiitis of the Central Nervous System: A Rare and Under-Recognized Entity,2026,2026-03-01,American Journal of Neuroradiology,Rai P.,10.3174/ajnr.A8970,2-s2.0-105032107223,SCOPUS_ID:105032107223,3,Review,
Imaging Differentiation of Supratentorial Ependymoma and High-Grade Glioma in Children Using VASARI Features,2026,2026-03-01,American Journal of Neuroradiology,Cerron-Vela C.R.,10.3174/ajnr.A9001,2-s2.0-105032121756,SCOPUS_ID:105032121756,0,Article,
Gradation of Prolonged Venous Transit on Perfusion Imaging Highlights the Association of Deep Venous Drainage Impairment with Unfavorable Functional Outcome in Successfully Reperfused Anterior Circulation Large-Vessel-Occlusion Stroke,2026,2026-03-01,American Journal of Neuroradiology,Mei J.,10.3174/ajnr.A9074,2-s2.0-105032144313,SCOPUS_ID:105032144313,0,Article,
Application of High-Resolution Conebeam CT for Evaluation of Endothelialization after Flow Diverter Implantation for Unruptured Intracranial Aneurysms,2026,2026-03-01,American Journal of Neuroradiology,Shi S.,10.3174/ajnr.A8997,2-s2.0-105032160572,SCOPUS_ID:105032160572,0,Article,
Machine Learning–Based Preoperative Predicting TERT Promoter Mutation and EGFR Gene Amplification Phenotype in IDH Wild-Type Glioblastoma Using Advanced MR Habitat Imaging,2026,2026-03-01,American Journal of Neuroradiology,Su Y.,10.3174/ajnr.A9053,2-s2.0-105032089222,SCOPUS_ID:105032089222,0,Article,
Posttreatment Follow-Up MR Imaging Biomarkers of Collateral Status Are Associated with Short-Term Outcomes in Large-Vessel Acute Ischemic Stroke,2026,2026-03-01,American Journal of Neuroradiology,Greene C.,10.3174/ajnr.A9035,2-s2.0-105032173524,SCOPUS_ID:105032173524,0,Article,
Imaging of Congenital Anomalies and Developmental Abnormalities Involving the Arteries of the Head and Neck,2026,2026-03-01,American Journal of Neuroradiology,Zakusilo F.T.,10.3174/ajnr.A9052,2-s2.0-105032115953,SCOPUS_ID:105032115953,0,Review,
Factors Influencing Cranial Nerve Palsy in Cavernous Sinus Dural Arteriovenous Fistulas,2026,2026-03-01,American Journal of Neuroradiology,Lee K.,10.3174/ajnr.A9018,2-s2.0-105032125653,SCOPUS_ID:105032125653,0,Article,
Efficacy and Safety of Stent-Assisted Coiling with Low-Profile Visualized Intraluminal Support versus Neuroform Atlas for Unruptured Internal Carotid Aneurysms: A Propensity Score–Matched Analysis,2026,2026-03-01,American Journal of Neuroradiology,Nagayama G.,10.3174/ajnr.A9034,2-s2.0-105032123164,SCOPUS_ID:105032123164,0,Article,
Utility of Low-Field Portable MRI in Neurosurgical ICU Patients Who Are Mechanically Ventilated: A Single-Center Retrospective Analysis,2026,2026-03-01,American Journal of Neuroradiology,Rao W.,10.3174/ajnr.A9063,2-s2.0-105032037085,SCOPUS_ID:105032037085,0,Article,
Isolated Congenital Middle Ear Malformations: Comparison of Preoperative 0.1-mm Ultra-High-Resolution CT and Conventional High-Resolution CT,2026,2026-03-01,American Journal of Neuroradiology,Guo J.,10.3174/ajnr.A8999,2-s2.0-105032104272,SCOPUS_ID:105032104272,0,Article,
Timing of Adjunctive Middle Meningeal Artery Embolization Relative to Surgical Evacuation for Chronic and Subacute Subdural Hematomas,2026,2026-03-01,American Journal of Neuroradiology,Chen H.,10.3174/ajnr.A9003,2-s2.0-105032106931,SCOPUS_ID:105032106931,2,Article,
Leptomeningeal Vascularity in Gadopiclenol-Enhanced Pediatric Brain MRI,2026,2026-03-01,American Journal of Neuroradiology,Valencia S.,10.3174/ajnr.A9020,2-s2.0-105032140990,SCOPUS_ID:105032140990,0,Article,
Foraminal [18F]FDG Uptake on PET/MRI Is Associated with Radiculopathy and Symptom Reduction after Image-Guided Nerve Root Block,2026,2026-03-01,American Journal of Neuroradiology,Kreutzinger V.,10.3174/ajnr.A8974,2-s2.0-105032162208,SCOPUS_ID:105032162208,0,Article,
The Evaluation of Quantitative MRA for Cerebral Amyloid Angiopathy with Vascular Risk Factors,2026,2026-03-01,American Journal of Neuroradiology,Mosi M.H.,10.3174/ajnr.A9007,2-s2.0-105032107826,SCOPUS_ID:105032107826,0,Article,
"Does Size, Shape, or Location Limit the Central Halo and the Polar Phase Signals of Susceptibility-Weighted Imaging in Differentiating Intracranial Hemorrhages from Calcifications?",2026,2026-03-01,American Journal of Neuroradiology,Krishnamoorthy A.,10.3174/ajnr.A9005,2-s2.0-105032123972,SCOPUS_ID:105032123972,0,Article,
Oral Cavity Lesion Mimicker: How Prevalent Is the Mylohyoid Boutonnière on MRI?,2026,2026-03-01,American Journal of Neuroradiology,Péporté A.R.J.,10.3174/ajnr.A8978,2-s2.0-105032108776,SCOPUS_ID:105032108776,0,Article,
The Diagnostic Burden of Spontaneous Intracranial Hypotension: Imaging Volume and Specialists’ Involvement prior to Diagnosis,2026,2026-03-01,American Journal of Neuroradiology,Habibi P.,10.3174/ajnr.A9012,2-s2.0-105032119670,SCOPUS_ID:105032119670,1,Article,
Relationship between APOE Genotype Status and Imaging Features in Patients with Alzheimer Disease Being Considered for Antiamyloid b Therapy,2026,2026-03-01,American Journal of Neuroradiology,Vejdani-Jahromi M.,10.3174/ajnr.A9056,2-s2.0-105032173626,SCOPUS_ID:105032173626,0,Article,
Precision Diffusion-Weighted Imaging of Head and Neck Squamous Cell Carcinoma,2026,2026-03-01,American Journal of Neuroradiology,Guzmán Pérez-Carrillo G.J.,10.3174/ajnr.A9026,2-s2.0-105032109914,SCOPUS_ID:105032109914,1,Article,
Measures of Brain Metabolism and Diffusion in Neonates of Mothers with Diabetes,2026,2026-03-01,American Journal of Neuroradiology,Hui S.C.N.,10.3174/ajnr.A8982,2-s2.0-105032153338,SCOPUS_ID:105032153338,0,Article,
High-Resolution 3T MRI of the Membranous Labyrinth Using Deep Learning Reconstruction,2026,2026-03-01,American Journal of Neuroradiology,Boubaker F.,10.3174/ajnr.A8989,2-s2.0-105032140616,SCOPUS_ID:105032140616,1,Article,
Prolonged Venous Transit Is Associated with Unfavorable Functional Outcomes in Large-Core Stroke,2026,2026-03-01,American Journal of Neuroradiology,Salim H.A.,10.3174/ajnr.A9047,2-s2.0-105032114612,SCOPUS_ID:105032114612,0,Article,
Measures of Brain Metabolism and Diffusion in Neonates of Mothers with Diabetes,2026,2026-03-01,American Journal of Neuroradiology,Hui S.C.N.,10.3174/ajnr.A8982,2-s2.0-105032153338,SCOPUS_ID:105032153338,0,Article,
"Factors Associated with Postoperative Neurologic Improvement after Endovascular Treatment for Spinal Vascular Lesions: Japanese Registry of Neuroendovascular Therapy 2, 3, and 4",2026,2026-03-01,American Journal of Neuroradiology,Tsuruta W.,10.3174/ajnr.A9116,2-s2.0-105032070944,SCOPUS_ID:105032070944,0,Article,
Future Is Ven(o)us: A 5-Year Narrative Update on the Venous Route for Therapeutics in Neurointervention,2026,2026-02-01,American Journal of Neuroradiology,Ognard J.,10.3174/ajnr.A8942,2-s2.0-105029381459,SCOPUS_ID:105029381459,2,Review,
Motion-Informed 3D Deep Learning Reconstruction in Patients with Cognitive Impairment,2026,2026-02-01,American Journal of Neuroradiology,Fujita S.,10.3174/ajnr.A8977,2-s2.0-105029490371,SCOPUS_ID:105029490371,0,Article,
Use of CTA in Strangulation Evaluation,2026,2026-02-01,American Journal of Neuroradiology,Moon J.,10.3174/ajnr.A8956,2-s2.0-105029343570,SCOPUS_ID:105029343570,0,Article,
Enhancing the Characterization of Dural Tears on Photon-Counting CT Myelography: An Analysis of Reconstruction Techniques,2026,2026-02-01,American Journal of Neuroradiology,Madhavan A.A.,10.3174/ajnr.A8938,2-s2.0-105029449415,SCOPUS_ID:105029449415,1,Article,
Similarity of Biological Information Captured by [68]Ga-PSMA-11 PET and ASL Perfusion MRI in Glioblastoma,2026,2026-02-01,American Journal of Neuroradiology,Han Y.,10.3174/ajnr.A8965,2-s2.0-105029374119,SCOPUS_ID:105029374119,1,Article,
Toward a Broader Classification of Deep Venous Cerebral Anatomy in Extremely Preterm Infants: A Literature-Based Approach and Its Relevance to Intraventricular Hemorrhage,2026,2026-02-01,American Journal of Neuroradiology,Camfferman F.A.,10.3174/ajnr.A8985,2-s2.0-105029289278,SCOPUS_ID:105029289278,0,Article,
Outcome Prediction in Pediatric Traumatic Brain Injury Utilizing Social Determinants of Health and Machine Learning Methods,2026,2026-02-01,American Journal of Neuroradiology,Kaliaev A.,10.3174/ajnr.A8961,2-s2.0-105029419957,SCOPUS_ID:105029419957,0,Article,
Feasibility and Safety of 8F Guiding Catheter Navigation in Transradial Neurointervention for Unruptured Intracranial Aneurysms: A Propensity Score–Matched Comparison of Sheath-Based versus Sheathless Approaches,2026,2026-02-01,American Journal of Neuroradiology,Fuga M.,10.3174/ajnr.A8987,2-s2.0-105029508139,SCOPUS_ID:105029508139,0,Article,
MRI Findings of Intracranial Hemorrhages in ARCADIA-MRI: An Ancillary Study to the ARCADIA Trial,2026,2026-02-01,American Journal of Neuroradiology,Chen H.,10.3174/ajnr.A8955,2-s2.0-105029421989,SCOPUS_ID:105029421989,1,Article,
Risk Stratification for Traumatic SAH Enlargement and Surgical Intervention: Guides to Follow-Up Imaging in Patients with Trauma,2026,2026-02-01,American Journal of Neuroradiology,Azzi C.,10.3174/ajnr.A8951,2-s2.0-105029483592,SCOPUS_ID:105029483592,0,Article,
The Impact of a Neuroradiologist on the Report of a Real-World CT Perfusion Imaging Map Derived from Artificial Intelligence/Machine Learning–Driven Software,2026,2026-02-01,American Journal of Neuroradiology,De Rubeis G.,10.3174/ajnr.A8979,2-s2.0-105029414465,SCOPUS_ID:105029414465,0,Article,
Head-to-Head Comparison of 2 Artificial Intelligence Computer-Aided Triage Solutions for Detecting Intracranial Hemorrhage on Noncontrast Head CT,2026,2026-02-01,American Journal of Neuroradiology,Garcia G.M.,10.3174/ajnr.A8986,2-s2.0-105029500522,SCOPUS_ID:105029500522,1,Article,
Increased Prevalence of Nitrous Oxide–Induced Subacute Combined Degeneration of the Spinal Cord: Clinical and Imaging Findings,2026,2026-02-01,American Journal of Neuroradiology,Bruen R.,10.3174/ajnr.A9062,2-s2.0-105029356532,SCOPUS_ID:105029356532,0,Article,
Artificial Intelligence–Assisted Detection of Amyloid-Related Imaging Abnormalities: Promise and Pitfalls,2026,2026-02-01,American Journal of Neuroradiology,Petrella J.R.,10.3174/ajnr.A8946,2-s2.0-105029364073,SCOPUS_ID:105029364073,2,Article,
Neuroimaging Spectrum of GM1 Gangliosidosis with Description of Novel Imaging Signs,2026,2026-02-01,American Journal of Neuroradiology,Coppola F.,10.3174/ajnr.A8973,2-s2.0-105029418948,SCOPUS_ID:105029418948,1,Article,
ACR–ACNM–ASNR–SNMMI Practice Parameter for the Performance of Brain PET/CT Imaging in Dementia,2026,2026-02-01,American Journal of Neuroradiology,Tu R.K.,10.3174/ajnr.A9105,2-s2.0-105029494658,SCOPUS_ID:105029494658,0,Article,
Choroid Plexus Enlargement in Multiple Sclerosis Correlates with Cortical and Phase Rim Lesions on 7T MRI and Predicts Progression Independent of Relapse Activity,2026,2026-02-01,American Journal of Neuroradiology,Barbuti E.,10.3174/ajnr.A8983,2-s2.0-105029463551,SCOPUS_ID:105029463551,3,Article,
Diffusion Tensor Imaging along the Perivascular Space for Characterizing Cerebral Interstitial Fluid Dynamics in Alzheimer Disease: A Systematic Review and Meta-Analysis,2026,2026-02-01,American Journal of Neuroradiology,Khalafi M.,10.3174/ajnr.A8953,2-s2.0-105029388218,SCOPUS_ID:105029388218,2,Article,
American Society of Neuroradiology Consensus Statement: Integrating Neuro-PET Interpretation into Neuroradiology Training and Practice,2026,2026-02-01,American Journal of Neuroradiology,Ivanidze J.,10.3174/ajnr.A8959,2-s2.0-105029475020,SCOPUS_ID:105029475020,0,Article,
The Importance of Small Lateral Dural CSF Collections in Spontaneous Intracranial Hypotension: A Radiologic-Anatomic Study,2026,2026-02-01,American Journal of Neuroradiology,Schievink W.I.,10.3174/ajnr.A9061,2-s2.0-105029453263,SCOPUS_ID:105029453263,0,Article,
The Impact of Different CT Perfusion Software on Patient Stratification Strategies in Ischemic Stroke,2026,2026-02-01,American Journal of Neuroradiology,Tortora F.,10.3174/ajnr.A8963,2-s2.0-105029427913,SCOPUS_ID:105029427913,0,Article,
Maximizing the Conspicuity of CSF-Venous Fistulas on CT Myelography: Assessment of Contrast Density and Timing Effects,2026,2026-02-01,American Journal of Neuroradiology,Zhu D.,10.3174/ajnr.A8972,2-s2.0-105029441126,SCOPUS_ID:105029441126,0,Article,
Maximizing the Conspicuity of CSF-Venous Fistulas on CT Myelography: Assessment of Contrast Density and Timing Effects,2026,2026-02-01,American Journal of Neuroradiology,Zhu D.,10.3174/ajnr.A8972,2-s2.0-105029441126,SCOPUS_ID:105029441126,0,Article,
Comparative Accuracy of 18-Gauge versus 20-Gauge Ultrasound-Guided Fine-Needle Aspiration in the Detection of Persistent Lymph Node Metastasis in Head and Neck Squamous Cell Carcinoma after Chemoradiation,2026,2026-02-01,American Journal of Neuroradiology,Nguyen J.,10.3174/ajnr.A8990,2-s2.0-105029366961,SCOPUS_ID:105029366961,0,Article,
Safety and Efficacy of Middle Meningeal Artery Aneurysm and Pseudoaneurysm Embolization: A Systematic Review,2026,2026-02-01,American Journal of Neuroradiology,Sharafaddin-Zadeh Y.,10.3174/ajnr.A9132,2-s2.0-105029492711,SCOPUS_ID:105029492711,0,Article,
Association of Good Venous Outflow with Favorable Outcomes in Patients with Acute Ischemic Stroke Caused by Large Vessel Occlusion Treated with Multiple Endovascular Thrombectomy Passes,2026,2026-02-01,American Journal of Neuroradiology,Schwartz M.A.,10.3174/ajnr.A9066,2-s2.0-105029453943,SCOPUS_ID:105029453943,0,Article,
Peri-Rolandic and Occipital Sparing Cortical Edema: A Prevalent MRI Finding in Pediatric Patients with Cerebral Malaria,2026,2026-02-01,American Journal of Neuroradiology,Vidal L.,10.3174/ajnr.A8945,2-s2.0-105029367861,SCOPUS_ID:105029367861,0,Article,
